序号,服务,模块,端口,请求方法,接口路径,Controller,处理方法,接口说明,源码位置,映射注解行,处理方法行,映射注解
114,qdata-server,att,8080,GET,/att/documentCat/{id},AttDocumentCatController,getInfo,获取标准信息分类管理详细信息,qdata-module-att/qdata-module-att-biz/src/main/java/tech/qiantong/qdata/module/att/controller/admin/cat/AttDocumentCatController.java,93,94,@GetMapping
115,qdata-server,att,8080,POST,/att/modelCat,AttModelCatController,add,新增逻辑模型类目管理,qdata-module-att/qdata-module-att-biz/src/main/java/tech/qiantong/qdata/module/att/controller/admin/cat/AttModelCatController.java,104,105,@PostMapping
116,qdata-server,att,8080,PUT,/att/modelCat,AttModelCatController,edit,修改逻辑模型类目管理,qdata-module-att/qdata-module-att-biz/src/main/java/tech/qiantong/qdata/module/att/controller/admin/cat/AttModelCatController.java,115,116,@PutMapping
117,qdata-server,att,8080,POST,/att/modelCat/export,AttModelCatController,export,导出逻辑模型类目管理列表,qdata-module-att/qdata-module-att-biz/src/main/java/tech/qiantong/qdata/module/att/controller/admin/cat/AttModelCatController.java,73,74,@PostMapping
118,qdata-server,att,8080,POST,/att/modelCat/importData,AttModelCatController,importData,导入逻辑模型类目管理列表,qdata-module-att/qdata-module-att-biz/src/main/java/tech/qiantong/qdata/module/att/controller/admin/cat/AttModelCatController.java,84,85,@PostMapping
119,qdata-server,att,8080,GET,/att/modelCat/list,AttModelCatController,list,查询逻辑模型类目管理列表,qdata-module-att/qdata-module-att-biz/src/main/java/tech/qiantong/qdata/module/att/controller/admin/cat/AttModelCatController.java,64,65,@GetMapping
120,qdata-server,att,8080,DELETE,/att/modelCat/{ID},AttModelCatController,remove,删除逻辑模型类目管理,qdata-module-att/qdata-module-att-biz/src/main/java/tech/qiantong/qdata/module/att/controller/admin/cat/AttModelCatController.java,134,135,@DeleteMapping
121,qdata-server,att,8080,GET,/att/modelCat/{ID},AttModelCatController,getInfo,获取逻辑模型类目管理详细信息,qdata-module-att/qdata-module-att-biz/src/main/java/tech/qiantong/qdata/module/att/controller/admin/cat/AttModelCatController.java,95,96,@GetMapping
122,qdata-server,att,8080,POST,/att/project,AttProjectController,add,新增项目,qdata-module-att/qdata-module-att-biz/src/main/java/tech/qiantong/qdata/module/att/controller/admin/project/AttProjectController.java,121,122,@PostMapping
123,qdata-server,att,8080,PUT,/att/project,AttProjectController,edit,修改项目,qdata-module-att/qdata-module-att-biz/src/main/java/tech/qiantong/qdata/module/att/controller/admin/project/AttProjectController.java,142,143,@PutMapping
124,qdata-server,att,8080,GET,/att/project/addUserAndProject/{id},AttProjectController,addUserAndProjectIsOk,获取当前用户是非具备用户添加和项目管理员,qdata-module-att/qdata-module-att-biz/src/main/java/tech/qiantong/qdata/module/att/controller/admin/project/AttProjectController.java,113,114,@GetMapping
125,qdata-server,att,8080,GET,/att/project/currentUser/list,AttProjectController,currentUser,查询当前用户所属的项目列表,qdata-module-att/qdata-module-att-biz/src/main/java/tech/qiantong/qdata/module/att/controller/admin/project/AttProjectController.java,75,76,@GetMapping
126,qdata-server,att,8080,GET,/att/project/editProjectStatus/{id}/{status},AttProjectController,editProjectStatus,修改项目状态,qdata-module-att/qdata-module-att-biz/src/main/java/tech/qiantong/qdata/module/att/controller/admin/project/AttProjectController.java,157,158,@GetMapping
127,qdata-server,att,8080,POST,/att/project/importData,AttProjectController,importData,导入项目列表,qdata-module-att/qdata-module-att-biz/src/main/java/tech/qiantong/qdata/module/att/controller/admin/project/AttProjectController.java,94,95,@PostMapping
128,qdata-server,att,8080,GET,/att/project/list,AttProjectController,list,查询项目列表,qdata-module-att/qdata-module-att-biz/src/main/java/tech/qiantong/qdata/module/att/controller/admin/project/AttProjectController.java,68,69,@GetMapping
129,qdata-server,att,8080,POST,/att/project/noProjectUser/list,AttProjectController,list,查询当前用户所属的项目列表,qdata-module-att/qdata-module-att-biz/src/main/java/tech/qiantong/qdata/module/att/controller/admin/project/AttProjectController.java,85,86,@PostMapping
130,qdata-server,att,8080,GET,/att/project/{ID},AttProjectController,getInfo,获取项目详细信息,qdata-module-att/qdata-module-att-biz/src/main/java/tech/qiantong/qdata/module/att/controller/admin/project/AttProjectController.java,105,106,@GetMapping
131,qdata-server,att,8080,DELETE,/att/project/{ids},AttProjectController,remove,删除项目,qdata-module-att/qdata-module-att-biz/src/main/java/tech/qiantong/qdata/module/att/controller/admin/project/AttProjectController.java,170,171,@DeleteMapping
132,qdata-server,att,8080,POST,/att/projectUserRel,AttProjectUserRelController,add,新增项目与用户关联关系,qdata-module-att/qdata-module-att-biz/src/main/java/tech/qiantong/qdata/module/att/controller/admin/project/AttProjectUserRelController.java,143,144,@PostMapping
133,qdata-server,att,8080,PUT,/att/projectUserRel,AttProjectUserRelController,edit,修改项目与用户关联关系,qdata-module-att/qdata-module-att-biz/src/main/java/tech/qiantong/qdata/module/att/controller/admin/project/AttProjectUserRelController.java,165,166,@PutMapping
134,qdata-server,att,8080,POST,/att/projectUserRel/addUserListAndRoleList,AttProjectUserRelController,addUserListAndRoleList,新增项目与用户关联关系,qdata-module-att/qdata-module-att-biz/src/main/java/tech/qiantong/qdata/module/att/controller/admin/project/AttProjectUserRelController.java,154,155,@PostMapping
135,qdata-server,att,8080,PUT,/att/projectUserRel/editUserListAndRoleList,AttProjectUserRelController,editUserListAndRoleList,修改项目与用户关联关系,qdata-module-att/qdata-module-att-biz/src/main/java/tech/qiantong/qdata/module/att/controller/admin/project/AttProjectUserRelController.java,176,177,@PutMapping
136,qdata-server,att,8080,POST,/att/projectUserRel/export,AttProjectUserRelController,export,导出项目与用户关联关系列表,qdata-module-att/qdata-module-att-biz/src/main/java/tech/qiantong/qdata/module/att/controller/admin/project/AttProjectUserRelController.java,104,105,@PostMapping
137,qdata-server,att,8080,POST,/att/projectUserRel/importData,AttProjectUserRelController,importData,导入项目与用户关联关系列表,qdata-module-att/qdata-module-att-biz/src/main/java/tech/qiantong/qdata/module/att/controller/admin/project/AttProjectUserRelController.java,115,116,@PostMapping
138,qdata-server,att,8080,GET,/att/projectUserRel/list,AttProjectUserRelController,list,查询项目与用户关联关系列表,qdata-module-att/qdata-module-att-biz/src/main/java/tech/qiantong/qdata/module/att/controller/admin/project/AttProjectUserRelController.java,95,96,@GetMapping
139,qdata-server,att,8080,POST,/att/projectUserRel/role,AttProjectUserRelController,add,删除项目与用户关联关系,qdata-module-att/qdata-module-att-biz/src/main/java/tech/qiantong/qdata/module/att/controller/admin/project/AttProjectUserRelController.java,224,225,@PostMapping
140,qdata-server,att,8080,PUT,/att/projectUserRel/role,AttProjectUserRelController,edit,,qdata-module-att/qdata-module-att-biz/src/main/java/tech/qiantong/qdata/module/att/controller/admin/project/AttProjectUserRelController.java,242,243,@PutMapping
141,qdata-server,att,8080,GET,/att/projectUserRel/role/authUser/allocatedList,AttProjectUserRelController,allocatedList,,qdata-module-att/qdata-module-att-biz/src/main/java/tech/qiantong/qdata/module/att/controller/admin/project/AttProjectUserRelController.java,323,324,@GetMapping
142,qdata-server,att,8080,PUT,/att/projectUserRel/role/authUser/cancel,AttProjectUserRelController,cancelAuthUser,,qdata-module-att/qdata-module-att-biz/src/main/java/tech/qiantong/qdata/module/att/controller/admin/project/AttProjectUserRelController.java,346,347,@PutMapping
143,qdata-server,att,8080,PUT,/att/projectUserRel/role/authUser/cancelAll,AttProjectUserRelController,cancelAuthUserAll,,qdata-module-att/qdata-module-att-biz/src/main/java/tech/qiantong/qdata/module/att/controller/admin/project/AttProjectUserRelController.java,356,357,@PutMapping
144,qdata-server,att,8080,PUT,/att/projectUserRel/role/authUser/selectAll,AttProjectUserRelController,selectAuthUserAll,,qdata-module-att/qdata-module-att-biz/src/main/java/tech/qiantong/qdata/module/att/controller/admin/project/AttProjectUserRelController.java,366,367,@PutMapping
145,qdata-server,att,8080,GET,/att/projectUserRel/role/authUser/unallocatedList,AttProjectUserRelController,unallocatedList,,qdata-module-att/qdata-module-att-biz/src/main/java/tech/qiantong/qdata/module/att/controller/admin/project/AttProjectUserRelController.java,334,335,@GetMapping
146,qdata-server,att,8080,PUT,/att/projectUserRel/role/changeStatus,AttProjectUserRelController,changeStatus,,qdata-module-att/qdata-module-att-biz/src/main/java/tech/qiantong/qdata/module/att/controller/admin/project/AttProjectUserRelController.java,285,286,@PutMapping
147,qdata-server,att,8080,PUT,/att/projectUserRel/role/dataScope,AttProjectUserRelController,dataScope,,qdata-module-att/qdata-module-att-biz/src/main/java/tech/qiantong/qdata/module/att/controller/admin/project/AttProjectUserRelController.java,273,274,@PutMapping
148,qdata-server,att,8080,GET,/att/projectUserRel/role/deptTree/{roleId},AttProjectUserRelController,deptTree,,qdata-module-att/qdata-module-att-biz/src/main/java/tech/qiantong/qdata/module/att/controller/admin/project/AttProjectUserRelController.java,376,377,@GetMapping
149,qdata-server,att,8080,POST,/att/projectUserRel/role/export,AttProjectUserRelController,export,删除项目与用户关联关系,qdata-module-att/qdata-module-att-biz/src/main/java/tech/qiantong/qdata/module/att/controller/admin/project/AttProjectUserRelController.java,202,203,@PostMapping
150,qdata-server,att,8080,GET,/att/projectUserRel/role/list,AttProjectUserRelController,list,删除项目与用户关联关系,qdata-module-att/qdata-module-att-biz/src/main/java/tech/qiantong/qdata/module/att/controller/admin/project/AttProjectUserRelController.java,193,194,@GetMapping
151,qdata-server,att,8080,GET,/att/projectUserRel/role/optionselect,AttProjectUserRelController,optionselect,,qdata-module-att/qdata-module-att-biz/src/main/java/tech/qiantong/qdata/module/att/controller/admin/project/AttProjectUserRelController.java,314,315,@GetMapping
152,qdata-server,att,8080,DELETE,/att/projectUserRel/role/{roleIds},AttProjectUserRelController,removeRole,,qdata-module-att/qdata-module-att-biz/src/main/java/tech/qiantong/qdata/module/att/controller/admin/project/AttProjectUserRelController.java,305,306,@DeleteMapping
153,qdata-server,att,8080,GET,/att/projectUserRel/role/{roleId},AttProjectUserRelController,getRoleInfo,删除项目与用户关联关系,qdata-module-att/qdata-module-att-biz/src/main/java/tech/qiantong/qdata/module/att/controller/admin/project/AttProjectUserRelController.java,213,214,@GetMapping
154,qdata-server,att,8080,GET,/att/projectUserRel/roleUser/{id},AttProjectUserRelController,getRoleUser,获取项目与用户关联关系详细信息包括角色信息,qdata-module-att/qdata-module-att-biz/src/main/java/tech/qiantong/qdata/module/att/controller/admin/project/AttProjectUserRelController.java,134,135,@GetMapping
155,qdata-server,att,8080,DELETE,/att/projectUserRel/{ids},AttProjectUserRelController,remove,删除项目与用户关联关系,qdata-module-att/qdata-module-att-biz/src/main/java/tech/qiantong/qdata/module/att/controller/admin/project/AttProjectUserRelController.java,187,188,@DeleteMapping
156,qdata-server,att,8080,GET,/att/projectUserRel/{id},AttProjectUserRelController,getInfo,获取项目与用户关联关系详细信息,qdata-module-att/qdata-module-att-biz/src/main/java/tech/qiantong/qdata/module/att/controller/admin/project/AttProjectUserRelController.java,126,127,@GetMapping
157,qdata-server,att,8080,POST,/att/qualityCat,AttQualityCatController,add,新增数据质量类目,qdata-module-att/qdata-module-att-biz/src/main/java/tech/qiantong/qdata/module/att/controller/admin/cat/AttQualityCatController.java,101,102,@PostMapping
158,qdata-server,att,8080,PUT,/att/qualityCat,AttQualityCatController,edit,修改数据质量类目,qdata-module-att/qdata-module-att-biz/src/main/java/tech/qiantong/qdata/module/att/controller/admin/cat/AttQualityCatController.java,112,113,@PutMapping
159,qdata-server,att,8080,POST,/att/qualityCat/export,AttQualityCatController,export,导出数据质量类目列表,qdata-module-att/qdata-module-att-biz/src/main/java/tech/qiantong/qdata/module/att/controller/admin/cat/AttQualityCatController.java,71,72,@PostMapping
160,qdata-server,att,8080,POST,/att/qualityCat/importData,AttQualityCatController,importData,导入数据质量类目列表,qdata-module-att/qdata-module-att-biz/src/main/java/tech/qiantong/qdata/module/att/controller/admin/cat/AttQualityCatController.java,82,83,@PostMapping
161,qdata-server,att,8080,GET,/att/qualityCat/list,AttQualityCatController,list,查询数据质量类目列表,qdata-module-att/qdata-module-att-biz/src/main/java/tech/qiantong/qdata/module/att/controller/admin/cat/AttQualityCatController.java,63,64,@GetMapping
162,qdata-server,att,8080,DELETE,/att/qualityCat/{ids},AttQualityCatController,remove,删除数据质量类目,qdata-module-att/qdata-module-att-biz/src/main/java/tech/qiantong/qdata/module/att/controller/admin/cat/AttQualityCatController.java,123,124,@DeleteMapping
163,qdata-server,att,8080,GET,/att/qualityCat/{id},AttQualityCatController,getInfo,获取数据质量类目详细信息,qdata-module-att/qdata-module-att-biz/src/main/java/tech/qiantong/qdata/module/att/controller/admin/cat/AttQualityCatController.java,92,93,@GetMapping
164,qdata-server,att,8080,POST,/att/sourceSystem,AttSourceSystemController,add,新增来源系统,qdata-module-att/qdata-module-att-biz/src/main/java/tech/qiantong/qdata/module/att/controller/admin/sourceSystem/AttSourceSystemController.java,114,115,@PostMapping
165,qdata-server,att,8080,PUT,/att/sourceSystem,AttSourceSystemController,edit,修改来源系统,qdata-module-att/qdata-module-att-biz/src/main/java/tech/qiantong/qdata/module/att/controller/admin/sourceSystem/AttSourceSystemController.java,125,126,@PutMapping
166,qdata-server,att,8080,POST,/att/sourceSystem/export,AttSourceSystemController,export,导出来源系统列表,qdata-module-att/qdata-module-att-biz/src/main/java/tech/qiantong/qdata/module/att/controller/admin/sourceSystem/AttSourceSystemController.java,83,84,@PostMapping
167,qdata-server,att,8080,POST,/att/sourceSystem/importData,AttSourceSystemController,importData,导入来源系统列表,qdata-module-att/qdata-module-att-biz/src/main/java/tech/qiantong/qdata/module/att/controller/admin/sourceSystem/AttSourceSystemController.java,94,95,@PostMapping
168,qdata-server,att,8080,GET,/att/sourceSystem/list,AttSourceSystemController,list,查询来源系统列表,qdata-module-att/qdata-module-att-biz/src/main/java/tech/qiantong/qdata/module/att/controller/admin/sourceSystem/AttSourceSystemController.java,66,67,@GetMapping
169,qdata-server,att,8080,GET,/att/sourceSystem/listValid,AttSourceSystemController,list,查询来源系统列表,qdata-module-att/qdata-module-att-biz/src/main/java/tech/qiantong/qdata/module/att/controller/admin/sourceSystem/AttSourceSystemController.java,74,75,@GetMapping
